UE1vsUE2,acc_all,acc_x,acc_y,acc_z,gyro_all,gyro_x,gyro_y,gyro_z,on_same,UE3vsUE4,UE1vsUE3,UE2vsUE3
1.0,0.04127718777393556,0.17350495851684378,0.1926427545080046,0.04082578942464533,0.012740124822921348,0.3672524836726761,0.05627264877048171,0.006298583870336549,1.0,0,0,0
0,0.027629606560782106,0.02746078190737539,0.018446487518718514,0.045731333323324096,0.5954124481237357,0.008584076207987516,0.10383276029512335,0.8036984265608591,1.0,1.0,0,0
0,0.0019818036163355046,0.03685003926989259,0.019634919072530673,0.0016924634208144444,0.24179489458356881,2.5629648775413716,3.4944279378439274,0.024290023953763045,0.0,0,1.0,0
0,0.0530102191773227,0.06130580046785859,0.09231391427068754,0.049053982557975676,0.3699346775020471,5.960568588577672,4.7759381283239355,0.049499570964277435,0.0,0,0,1.0
1.0,0.004432460701570753,0.029273332679280097,0.0513526890349504,0.004810332657572808,0.0010791722104832547,0.016843045441105285,0.02008022638358182,7.835566362898675e-06,1.0,0,0,0
0,0.008849993082746366,2.0537431550051077,0.011899430630585487,0.003813162260384756,1.1710309608858,0.698850496282706,16.771244626351596,4.6011159406990885,1.0,1.0,0,0
0,0.018251305943262682,1.9538921614267428,0.06229077195514303,0.020501691535572554,5.5644661107115,4.561948889138626,6.706348787558741,0.39592920235078877,0.0,0,1.0,0
0,0.01568076208419742,2.1273214987533153,0.08368514115663073,0.016890492894662486,5.632534202556329,4.431651317664571,7.483684884218295,0.3976642032426252,0.0,0,0,1.0
1.0,0.010253155121172697,0.008884048074385151,0.10962052427363896,0.010200017676954769,0.531627766012015,0.01590408554020265,0.26353190939787796,0.00043485529622603686,1.0,0,0,0
0,0.0009176444433768655,15.428351279562747,0.18973093009017453,0.014166201004380841,13.629976354192298,0.44086920688987796,7.633104000603095,4.0294404251729885,1.0,1.0,0,0
0,0.004725239728948343,12.691661554597005,0.1859032318640958,0.0048848924932918605,3.1731964115741356,4.129226505184689,1.3909374972303792,0.15651215573317814,0.0,0,1.0,0
