date,time,UE2_acc_x,UE2_acc_y,UE2_acc_z
2018-12-13,04:28:03.870,0.44889832,1.7649078,9.305191
2018-12-13,04:28:03.890,0.38186646,1.6595612000000002,9.489532
2018-12-13,04:28:03.910,0.39622498,1.6116791000000001,9.736145
2018-12-13,04:28:03.929,0.43933105,1.666748,9.829514
2018-12-13,04:28:03.949,0.41299438,1.697876,9.736145
2018-12-13,04:28:03.969,0.3698883,1.666748,9.752899000000001
2018-12-13,04:28:03.988,0.38186646,1.6260529,9.901337
2018-12-13,04:28:04.008,0.3651123,1.6475983,9.961197
2018-12-13,04:28:04.028,0.31483459999999996,1.6906891,9.788818
2018-12-13,04:28:04.048,0.25976562,1.7242126,9.637985
2018-12-13,04:28:04.067,0.27891540000000004,1.7146301,9.5877075
2018-12-13,04:28:04.087,0.31243896,1.7170258000000003,9.575728999999999
2018-12-13,04:28:04.107,0.34594727,1.7457580000000001,9.542206
2018-12-13,04:28:04.126,0.3770752,1.7792816000000002,9.5134735
2018-12-13,04:28:04.146,0.38186646,1.7792816000000002,9.467986999999999
2018-12-13,04:28:04.166,0.39382935,1.7577362,9.396164
2018-12-13,04:28:04.186,0.40341187,1.7266082999999999,9.427292
2018-12-13,04:28:04.205,0.43453980000000003,1.7242126,9.561371000000001
2018-12-13,04:28:04.225,0.38426208,1.7002716,9.61882
2018-12-13,04:28:04.245,0.33158875,1.6140747,9.760086
2018-12-13,04:28:04.265,0.36271667,1.6404113999999999,9.8606415
2018-12-13,04:28:04.284,0.37947083,1.6906891,9.764877
2018-12-13,04:28:04.304,0.42016602,1.7002716,9.740936
2018-12-13,04:28:04.324,0.43933105,1.6715393,9.781630999999999
2018-12-13,04:28:04.344,0.42256165,1.6571808000000001,9.793610000000001
2018-12-13,04:28:04.363,0.41539,1.6571808000000001,9.793610000000001
2018-12-13,04:28:04.383,0.44410706,1.6547851999999998,9.748108
2018-12-13,04:28:04.403,0.41299438,1.6763306,9.67868
2018-12-13,04:28:04.423,0.36749268,1.6571808000000001,9.733749000000001
2018-12-13,04:28:04.442,0.31721497,1.6116791000000001,9.755295
2018-12-13,04:28:04.462,0.32200623,1.5446472,9.736145
2018-12-13,04:28:04.482,0.32919312,1.5637969999999999,9.69783
2018-12-13,04:28:04.502,0.2861023,1.5422516000000002,9.702621
2018-12-13,04:28:04.521,0.28131104,1.5207062,9.755295
2018-12-13,04:28:04.543,0.33398438,1.5590057,9.772049
2018-12-13,04:28:04.562,0.3483429,1.618866,9.628403
2018-12-13,04:28:04.583,0.34355164,1.6619568,9.448837
2018-12-13,04:28:04.602,0.37228394,1.6739349,9.417709
2018-12-13,04:28:04.622,0.39382935,1.6835022000000002,9.434479
2018-12-13,04:28:04.641,0.37228394,1.6954803,9.434479
2018-12-13,04:28:04.661,0.35792542,1.6930846999999998,9.479965
2018-12-13,04:28:04.686,0.34355164,1.6906891,9.5685425
